2019-02-11 01:17:39.353172
        [5.609, 11.432, 0.306, 0.01, 0.001, 0.001, 100],
        [5.606, 11.432, 0.3127, 0.01, 0.001, 0.001, 100],
        [5.604, 11.432, 0.3193, 0.01, 0.001, 0.001, 100],
        [5.603, 11.432, 0.326, 0.01, 0.001, 0.001, 100],
        [5.601, 11.432, 0.3327, 0.01, 0.001, 0.001, 100],
        [5.598, 11.432, 0.3393, 0.01, 0.001, 0.001, 100],
        [5.596, 11.432, 0.346, 0.01, 0.001, 0.001, 100],
        [5.595, 11.432, 0.3527, 0.01, 0.001, 0.001, 100],
        [5.593, 11.432, 0.3593, 0.01, 0.001, 0.001, 100],
        [5.590, 11.432, 0.366, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.3771, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.3882, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.3993, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.4104, 0.01, 0.001, 0.001, 100],
        [5.592, 11.432, 0.4216, 0.01, 0.001, 0.001, 100],
        [5.592, 11.432, 0.4327, 0.01, 0.001, 0.001, 100],
        [5.592, 11.432, 0.4438, 0.01, 0.001, 0.001, 100],
        [5.592, 11.432, 0.4549, 0.01, 0.001, 0.001, 100],
        [5.593, 11.432, 0.466, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.4727, 0.01, 0.001, 0.001, 100],
        [5.590, 11.432, 0.4793, 0.01, 0.001, 0.001, 100],
        [5.588, 11.432, 0.486, 0.01, 0.001, 0.001, 100],
        [5.587, 11.432, 0.4927, 0.01, 0.001, 0.001, 100],
        [5.586, 11.432, 0.4993, 0.01, 0.001, 0.001, 100],
        [5.585, 11.432, 0.506, 0.01, 0.001, 0.001, 100],
        [5.583, 11.432, 0.5127, 0.01, 0.001, 0.001, 100],
        [5.582, 11.432, 0.5193, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.526, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5347, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5433, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.552, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5607, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5693, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.578, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5867, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5953, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.604, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.6118, 0.01, 0.001, 0.001, 100],
        [5.578, 11.432, 0.6196, 0.01, 0.001, 0.001, 100],
        [5.578, 11.432, 0.6273, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.6351, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.6429, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6507, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6584, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6662, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.674, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6776, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6811, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6847, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6882, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6918, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6953, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6989, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.7024, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.706, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.7084, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.7109, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.7133, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.7158, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.7182, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7207, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.7231, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.7256, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.728, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7291, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7302, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7313, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7324, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7336, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.7347, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.7358, 0.01, 0.001, 0.001, 100],
        [5.565, 11.432, 0.7369, 0.01, 0.001, 0.001, 100],
        [5.564, 11.432, 0.738, 0.01, 0.001, 0.001, 100],
        [5.565, 11.432, 0.7373, 0.01, 0.001, 0.001, 100],
        [5.565, 11.432, 0.7367, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.736, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.7353, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.7347, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7333, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7327, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.732, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7313, 0.01, 0.001, 0.001, 100],
